"Gene_name" "chromosome" "start" "end" "biotype" "band"
"TARDBP" "1" 11072414 11085796 "protein_coding" "1:p36.22"
"MASP2" "1" 11086580 11107290 "protein_coding" "1:p36.22"
"SRM" "1" 11114641 11120081 "protein_coding" "1:p36.22"
"EXOSC10" "1" 11126675 11159938 "protein_coding" "1:p36.22"
"MTOR" "1" 11166592 11322564 "protein_coding" "1:p36.22"
"ANGPTL7" "1" 11249398 11256038 "protein_coding" "1:p36.22"
"UBIAD1" "1" 11333263 11356106 "protein_coding" "1:p36.22"
"PTCHD2" "1" 11539223 11597641 "protein_coding" "1:p36.22"
"FBXO2" "1" 11708424 11715842 "protein_coding" "1:p36.22"
"FBXO44" "1" 11714432 11723384 "protein_coding" "1:p36.22"
"FBXO6" "1" 11724181 11734411 "protein_coding" "1:p36.22"
"MAD2L2" "1" 11734537 11751707 "protein_coding" "1:p36.22"
"DRAXIN" "1" 11751786 11785914 "protein_coding" "1:p36.22"
"AGTRAP" "1" 11796141 11814859 "protein_coding" "1:p36.22"
"C1orf167" "1" 11821844 11849642 "protein_coding" "1:p36.22"
"MTHFR" "1" 11845780 11866977 "protein_coding" "1:p36.22"
"CLCN6" "1" 11866207 11903201 "protein_coding" "1:p36.22"
"NPPA" "1" 11905766 11908402 "protein_coding" "1:p36.22"
"NPPB" "1" 11917521 11918988 "protein_coding" "1:p36.22"
"KIAA2013" "1" 11979648 11986485 "protein_coding" "1:p36.22"
"PLOD1" "1" 11994262 12035595 "protein_coding" "1:p36.22"
"MFN2" "1" 12040238 12073571 "protein_coding" "1:p36.22"
"MIIP" "1" 12079523 12092102 "protein_coding" "1:p36.22"
"TNFRSF8" "1" 12123434 12204264 "protein_coding" "1:p36.22"
"TNFRSF1B" "1" 12227060 12269285 "protein_coding" "1:p36.22"
"VPS13D" "1" 12290124 12572099 "protein_coding" "1:p36.22"
"DHRS3" "1" 12627939 12677737 "protein_coding" "1:p36.22"
"AADACL4" "1" 12704566 12727097 "protein_coding" "1:p36.21"
"AADACL3" "1" 12776118 12788726 "protein_coding" "1:p36.21"
"C1orf158" "1" 12806163 12823847 "protein_coding" "1:p36.21"
"PRAMEF12" "1" 12834984 12838049 "protein_coding" "1:p36.21"
"PRAMEF1" "1" 12851546 12856777 "protein_coding" "1:p36.21"
"PRAMEF11" "1" 12884468 12891264 "protein_coding" "1:p36.21"
"HNRNPCL1" "1" 12907261 12908578 "protein_coding" "1:p36.21"
"PRAMEF2" "1" 12916941 12921764 "protein_coding" "1:p36.21"
"PRAMEF4" "1" 12939045 12946025 "protein_coding" "1:p36.21"
"PRAMEF10" "1" 12952727 12958101 "protein_coding" "1:p36.21"
"PRAMEF7" "1" 12976450 12980569 "protein_coding" "1:p36.21"
"PRAMEF6" "1" 12998181 13117751 "protein_coding" "1:p36.21"
"PRAMEF22" "1" 13035543 13038381 "protein_coding" "1:p36.21"
"WI2-3308P17.2" "1" 13052394 13052998 "protein_coding" "1:p36.21"
"PRAMEF26" "1" 13216356 13219581 "protein_coding" "1:p36.21"
"PRAMEF3" "1" 13328196 13331692 "protein_coding" "1:p36.21"
"PRAMEF5" "1" 13359819 13369057 "protein_coding" "1:p36.21"
"PRAMEF8" "1" 13386646 13390765 "protein_coding" "1:p36.21"
"PRAMEF9" "1" 13421176 13428191 "protein_coding" "1:p36.21"
"PRAMEF13" "1" 13447414 13452656 "protein_coding" "1:p36.21"
"PRAMEF18" "1" 13474689 13477522 "protein_coding" "1:p36.21"
"PRAMEF16" "1" 13495254 13498260 "protein_coding" "1:p36.21"
"PRAMEF21" "1" 13516066 13526943 "protein_coding" "1:p36.21"
"PRAMEF15" "1" 13641973 13648988 "protein_coding" "1:p36.21"
"PRAMEF14" "1" 13668269 13673511 "protein_coding" "1:p36.21"
"PRAMEF19" "1" 13694889 13698405 "protein_coding" "1:p36.21"
"PRAMEF17" "1" 13716092 13719089 "protein_coding" "1:p36.21"
"PRAMEF20" "1" 13736907 13747803 "protein_coding" "1:p36.21"
"LRRC38" "1" 13801445 13840543 "protein_coding" "1:p36.21"
"PDPN" "1" 13909960 13944452 "protein_coding" "1:p36.21"
"PRDM2" "1" 14026693 14151574 "protein_coding" "1:p36.21"
"KAZN" "1" 14925200 15444539 "protein_coding" "1:p36.21"
"TMEM51" "1" 15479028 15546976 "protein_coding" "1:p36.21"
"C1orf195" "1" 15490840 15497813 "protein_coding" "1:p36.21"
"FHAD1" "1" 15573768 15726779 "protein_coding" "1:p36.21"
"EFHD2" "1" 15736391 15756839 "protein_coding" "1:p36.21"
"CTRC" "1" 15764935 15775737 "protein_coding" "1:p36.21"
"CELA2A" "1" 15783223 15798586 "protein_coding" "1:p36.21"
"CELA2B" "1" 15792404 15817895 "protein_coding" "1:p36.21"
"CASP9" "1" 15817327 15853029 "protein_coding" "1:p36.21"
"DNAJC16" "1" 15853308 15918874 "protein_coding" "1:p36.21"
"AGMAT" "1" 15898848 15911605 "protein_coding" "1:p36.21"
"DDI2" "1" 15943995 15995539 "protein_coding" "1:p36.21"
"RSC1A1" "1" 15986364 15988217 "protein_coding" "1:p36.21"
"PLEKHM2" "1" 16010827 16061264 "protein_coding" "1:p36.21"
"SLC25A34" "1" 16062900 16067891 "protein_coding" "1:p36.21"
"TMEM82" "1" 16068917 16074477 "protein_coding" "1:p36.21"
"FBLIM1" "1" 16083102 16113089 "protein_coding" "1:p36.21"
"SPEN" "1" 16174359 16266955 "protein_coding" "1:p36.21"
"ZBTB17" "1" 16268364 16302627 "protein_coding" "1:p36.13"
"C1orf64" "1" 16330731 16335302 "protein_coding" "1:p36.13"
"HSPB7" "1" 16340523 16346089 "protein_coding" "1:p36.13"
"CLCNKA" "1" 16345370 16360545 "protein_coding" "1:p36.13"
"CLCNKB" "1" 16370272 16383803 "protein_coding" "1:p36.13"
"FAM131C" "1" 16384264 16400127 "protein_coding" "1:p36.13"
"EPHA2" "1" 16450832 16482582 "protein_coding" "1:p36.13"
"ARHGEF19" "1" 16524349 16539104 "protein_coding" "1:p36.13"
"C1orf134" "1" 16555368 16556038 "protein_coding" "1:p36.13"
"RSG1" "1" 16558195 16563657 "protein_coding" "1:p36.13"
"FBXO42" "1" 16573334 16678949 "protein_coding" "1:p36.13"
"SZRD1" "1" 16679070 16724640 "protein_coding" "1:p36.13"
"SPATA21" "1" 16713612 16763919 "protein_coding" "1:p36.13"
"NECAP2" "1" 16767167 16786573 "protein_coding" "1:p36.13"
"AL355149.2" "1" 16865561 16866070 "protein_coding" "1:p36.13"
"NBPF1" "1" 16888814 16940057 "protein_coding" "1:p36.13"
"AL137798.1" "1" 16999498 17000007 "protein_coding" "1:p36.13"
"AL021920.2" "1" 17060447 17060956 "protein_coding" "1:p36.13"
"CROCC" "1" 17066768 17299474 "protein_coding" "1:p36.13"
"MFAP2" "1" 17300997 17307330 "protein_coding" "1:p36.13"
"ATP13A2" "1" 17312453 17338423 "protein_coding" "1:p36.13"
"SDHB" "1" 17345217 17380665 "protein_coding" "1:p36.13"
"PADI2" "1" 17393256 17445948 "protein_coding" "1:p36.13"
"PADI1" "1" 17531621 17572500 "protein_coding" "1:p36.13"
"PADI3" "1" 17575593 17610728 "protein_coding" "1:p36.13"
"PADI4" "1" 17634690 17690499 "protein_coding" "1:p36.13"
"AC004824.2" "1" 17655507 17676070 "protein_coding" "1:p36.13"
"RCC2" "1" 17733256 17766220 "protein_coding" "1:p36.13"
"ARHGEF10L" "1" 17866330 18024369 "protein_coding" "1:p36.13"
"ACTL8" "1" 18081808 18153558 "protein_coding" "1:p36.13"
"IGSF21" "1" 18434240 18704977 "protein_coding" "1:p36.13"
"KLHDC7A" "1" 18807424 18812478 "protein_coding" "1:p36.13"
"PAX7" "1" 18957500 19075360 "protein_coding" "1:p36.13"
"TAS1R2" "1" 19166093 19186176 "protein_coding" "1:p36.13"
"RP13-279N23.2" "1" 19175767 19247615 "protein_coding" "1:p36.13"
"ALDH4A1" "1" 19197926 19229275 "protein_coding" "1:p36.13"
"IFFO2" "1" 19230775 19283180 "protein_coding" "1:p36.13"
"UBR4" "1" 19401000 19536770 "protein_coding" "1:p36.13"
"EMC1" "1" 19542158 19578046 "protein_coding" "1:p36.13"
"MRTO4" "1" 19578033 19586622 "protein_coding" "1:p36.13"
"AKR7A3" "1" 19609052 19615744 "protein_coding" "1:p36.13"
"AKR7A2" "1" 19630459 19638640 "protein_coding" "1:p36.13"
"PQLC2" "1" 19638820 19655794 "protein_coding" "1:p36.13"
"CAPZB" "1" 19665267 19812066 "protein_coding" "1:p36.13"
"MINOS1-NBL1" "1" 19923473 19984549 "protein_coding" "1:p36.13"
"MINOS1" "1" 19923477 19956314 "protein_coding" "1:p36.13"
"NBL1" "1" 19967048 19984945 "protein_coding" "1:p36.13"
"HTR6" "1" 19991780 20006055 "protein_coding" "1:p36.13"
"TMCO4" "1" 20008706 20126438 "protein_coding" "1:p36.13"
"RNF186" "1" 20140523 20141771 "protein_coding" "1:p36.13"
"OTUD3" "1" 20209006 20239438 "protein_coding" "1:p36.13"
"PLA2G2E" "1" 20246502 20250110 "protein_coding" "1:p36.13"
"PLA2G2A" "1" 20301925 20306932 "protein_coding" "1:p36.13"
"PLA2G5" "1" 20354672 20417683 "protein_coding" "1:p36.13"
"PLA2G2D" "1" 20438432 20446050 "protein_coding" "1:p36.12"
"PLA2G2F" "1" 20465819 20476879 "protein_coding" "1:p36.12"
"PLA2G2C" "1" 20487746 20503917 "protein_coding" "1:p36.12"
"UBXN10" "1" 20512578 20522541 "protein_coding" "1:p36.12"
"VWA5B1" "1" 20617412 20681387 "protein_coding" "1:p36.12"
"CAMK2N1" "1" 20808884 20812713 "protein_coding" "1:p36.12"
"MUL1" "1" 20825943 20834654 "protein_coding" "1:p36.12"
"FAM43B" "1" 20878932 20881512 "protein_coding" "1:p36.12"
"CDA" "1" 20915441 20945401 "protein_coding" "1:p36.12"
"PINK1" "1" 20959948 20978004 "protein_coding" "1:p36.12"
"DDOST" "1" 20978270 20988000 "protein_coding" "1:p36.12"
"KIF17" "1" 20990507 21044510 "protein_coding" "1:p36.12"
"SH2D5" "1" 21046225 21059330 "protein_coding" "1:p36.12"
"HP1BP3" "1" 21069154 21113816 "protein_coding" "1:p36.12"
"EIF4G3" "1" 21132963 21503377 "protein_coding" "1:p36.12"
"ECE1" "1" 21543740 21671997 "protein_coding" "1:p36.12"
"NBPF3" "1" 21766621 21811498 "protein_coding" "1:p36.12"
"ALPL" "1" 21835858 21904905 "protein_coding" "1:p36.12"
"RAP1GAP" "1" 21922708 21995801 "protein_coding" "1:p36.12"
"USP48" "1" 22004791 22110099 "protein_coding" "1:p36.12"
"LDLRAD2" "1" 22138758 22151714 "protein_coding" "1:p36.12"
"HSPG2" "1" 22148738 22263790 "protein_coding" "1:p36.12"
"CELA3B" "1" 22303514 22325135 "protein_coding" "1:p36.12"
"CELA3A" "1" 22328149 22339032 "protein_coding" "1:p36.12"
"CDC42" "1" 22379120 22419437 "protein_coding" "1:p36.12"
"WNT4" "1" 22443798 22470462 "protein_coding" "1:p36.12"
"ZBTB40" "1" 22778344 22857650 "protein_coding" "1:p36.12"
"EPHA8" "1" 22890057 22930087 "protein_coding" "1:p36.12"
"C1QA" "1" 22962999 22966101 "protein_coding" "1:p36.12"
"C1QC" "1" 22970123 22974603 "protein_coding" "1:p36.12"
"C1QB" "1" 22979255 22988031 "protein_coding" "1:p36.12"
"EPHB2" "1" 23037332 23241818 "protein_coding" "1:p36.12"
"LACTBL1" "1" 23279536 23291831 "protein_coding" "1:p36.12"
"C1orf234" "1" 23337327 23342343 "protein_coding" "1:p36.12"
"KDM1A" "1" 23345941 23410182 "protein_coding" "1:p36.12"
"LUZP1" "1" 23410516 23504301 "protein_coding" "1:p36.12"
"HTR1D" "1" 23516993 23521222 "protein_coding" "1:p36.12"
"HNRNPR" "1" 23630264 23670829 "protein_coding" "1:p36.12"
"ZNF436" "1" 23685941 23695935 "protein_coding" "1:p36.12"
"C1orf213" "1" 23695490 23698332 "protein_coding" "1:p36.12"
"TCEA3" "1" 23707554 23751233 "protein_coding" "1:p36.12"
"ASAP3" "1" 23755056 23811061 "protein_coding" "1:p36.12"
"E2F2" "1" 23832922 23857712 "protein_coding" "1:p36.12"
"ID3" "1" 23884409 23886285 "protein_coding" "1:p36.12"
"MDS2" "1" 23907985 23967058 "protein_coding" "1:p36.11"
"RPL11" "1" 24018269 24022915 "protein_coding" "1:p36.11"
"TCEB3" "1" 24069645 24088549 "protein_coding" "1:p36.11"
"PITHD1" "1" 24104895 24114722 "protein_coding" "1:p36.11"
"LYPLA2" "1" 24117460 24122029 "protein_coding" "1:p36.11"
"GALE" "1" 24122089 24127271 "protein_coding" "1:p36.11"
"HMGCL" "1" 24128375 24165110 "protein_coding" "1:p36.11"
"FUCA1" "1" 24171567 24194784 "protein_coding" "1:p36.11"
"CNR2" "1" 24197016 24285549 "protein_coding" "1:p36.11"
"PNRC2" "1" 24285599 24289952 "protein_coding" "1:p36.11"
"SRSF10" "1" 24291294 24307417 "protein_coding" "1:p36.11"
"MYOM3" "1" 24382525 24438665 "protein_coding" "1:p36.11"
"IL22RA1" "1" 24446261 24469611 "protein_coding" "1:p36.11"
"IFNLR1" "1" 24480647 24514449 "protein_coding" "1:p36.11"
"GRHL3" "1" 24645812 24690972 "protein_coding" "1:p36.11"
"STPG1" "1" 24683489 24743424 "protein_coding" "1:p36.11"
"NIPAL3" "1" 24742284 24799466 "protein_coding" "1:p36.11"
"RCAN3" "1" 24829387 24867530 "protein_coding" "1:p36.11"
"NCMAP" "1" 24882602 24935819 "protein_coding" "1:p36.11"
"SRRM1" "1" 24958207 24999758 "protein_coding" "1:p36.11"
"CLIC4" "1" 25071848 25170815 "protein_coding" "1:p36.11"
"RUNX3" "1" 25226002 25291612 "protein_coding" "1:p36.11"
"SYF2" "1" 25549170 25558993 "protein_coding" "1:p36.11"
"C1orf63" "1" 25568728 25664704 "protein_coding" "1:p36.11"
"RHD" "1" 25598884 25656936 "protein_coding" "1:p36.11"
"TMEM50A" "1" 25664408 25688852 "protein_coding" "1:p36.11"
"RHCE" "1" 25688740 25756683 "protein_coding" "1:p36.11"
"TMEM57" "1" 25757388 25826700 "protein_coding" "1:p36.11"
"LDLRAP1" "1" 25870071 25895377 "protein_coding" "1:p36.11"
"MAN1C1" "1" 25943959 26112698 "protein_coding" "1:p36.11"
"SEPN1" "1" 26126667 26144713 "protein_coding" "1:p36.11"
"RP1-317E23.6" "1" 26137961 26150235 "protein_coding" "1:p36.11"
"MTFR1L" "1" 26145131 26159432 "protein_coding" "1:p36.11"
"AL020996.1" "1" 26145212 26147288 "protein_coding" "1:p36.11"
"AUNIP" "1" 26158414 26185903 "protein_coding" "1:p36.11"
"PAQR7" "1" 26187701 26197744 "protein_coding" "1:p36.11"
"STMN1" "1" 26210672 26233482 "protein_coding" "1:p36.11"
"PAFAH2" "1" 26286258 26324648 "protein_coding" "1:p36.11"
"EXTL1" "1" 26346375 26362955 "protein_coding" "1:p36.11"
"SLC30A2" "1" 26363743 26372624 "protein_coding" "1:p36.11"
"TRIM63" "1" 26377795 26394927 "protein_coding" "1:p36.11"
"PDIK1L" "1" 26437664 26452034 "protein_coding" "1:p36.11"
"FAM110D" "1" 26485511 26489119 "protein_coding" "1:p36.11"
"ZNF593" "1" 26496362 26498551 "protein_coding" "1:p36.11"
"CNKSR1" "1" 26503894 26516377 "protein_coding" "1:p36.11"
"CATSPER4" "1" 26517052 26529459 "protein_coding" "1:p36.11"
"CEP85" "1" 26560691 26605299 "protein_coding" "1:p36.11"
"SH3BGRL3" "1" 26605667 26608007 "protein_coding" "1:p36.11"
"UBXN11" "1" 26607819 26644854 "protein_coding" "1:p36.11"
"CD52" "1" 26644448 26647014 "protein_coding" "1:p36.11"
"AIM1L" "1" 26648350 26680621 "protein_coding" "1:p36.11"
"ZNF683" "1" 26688125 26701013 "protein_coding" "1:p36.11"
"LIN28A" "1" 26737269 26756213 "protein_coding" "1:p36.11"
"DHDDS" "1" 26758773 26797785 "protein_coding" "1:p36.11"
"HMGN2" "1" 26798941 26802463 "protein_coding" "1:p36.11"
"RPS6KA1" "1" 26856252 26901521 "protein_coding" "1:p36.11"
"ARID1A" "1" 27022524 27108595 "protein_coding" "1:p36.11"
"PIGV" "1" 27113963 27124889 "protein_coding" "1:p36.11"
"ZDHHC18" "1" 27153201 27184093 "protein_coding" "1:p36.11"
"SFN" "1" 27189633 27190947 "protein_coding" "1:p36.11"
"GPN2" "1" 27202624 27216788 "protein_coding" "1:p36.11"
"GPATCH3" "1" 27216979 27226957 "protein_coding" "1:p36.11"
"NUDC" "1" 27226729 27273353 "protein_coding" "1:p36.11"
"NR0B2" "1" 27237980 27240457 "protein_coding" "1:p36.11"
"C1orf172" "1" 27276053 27286897 "protein_coding" "1:p36.11"
"TRNP1" "1" 27320198 27327389 "protein_coding" "1:p36.11"
"FAM46B" "1" 27331511 27339327 "protein_coding" "1:p36.11"
"SLC9A1" "1" 27425306 27493472 "protein_coding" "1:p36.11"
"WDTC1" "1" 27561007 27635110 "protein_coding" "1:p36.11"
"TMEM222" "1" 27648651 27662891 "protein_coding" "1:p36.11"
"SYTL1" "1" 27668513 27680421 "protein_coding" "1:p36.11"
"MAP3K6" "1" 27681675 27693383 "protein_coding" "1:p36.11"
"FCN3" "1" 27695603 27701315 "protein_coding" "1:p36.11"
"CD164L2" "1" 27705666 27709870 "protein_coding" "1:p36.11"
"GPR3" "1" 27719148 27722318 "protein_coding" "1:p36.11"
"WASF2" "1" 27730730 27816669 "protein_coding" "1:p36.11"
"AHDC1" "1" 27860546 27930942 "protein_coding" "1:p36.11"
"FGR" "1" 27938575 27961788 "protein_coding" "1:p36.11"
